student_id,total_classes,attendance_percentage,student_name,department,year,section,hostel_status,attendance_status
STU0001,50,78.0,Student_0001,IT,4,A,Day Scholar,75% and Above
STU0002,50,76.0,Student_0002,EEE,1,C,Hostel,75% and Above
STU0003,50,84.0,Student_0003,MECH,4,A,Hostel,75% and Above
STU0004,50,84.0,Student_0004,IT,2,D,Hostel,75% and Above
STU0005,50,86.0,Student_0005,ECE,1,A,Day Scholar,75% and Above
STU0006,50,76.0,Student_0006,MECH,3,A,Hostel,75% and Above
STU0007,50,80.0,Student_0007,MECH,2,D,Hostel,75% and Above
STU0008,50,82.0,Student_0008,IT,3,B,Day Scholar,75% and Above
STU0009,50,86.0,Student_0009,AIML,4,B,Day Scholar,75% and Above
STU0010,50,80.0,Student_0010,ECE,4,B,Hostel,75% and Above
STU0011,50,92.0,Student_0011,IT,2,C,Day Scholar,75% and Above
STU0012,50,78.0,Student_0012,ECE,4,D,Hostel,75% and Above
STU0013,50,84.0,Student_0013,ECE,3,D,Hostel,75% and Above
STU0014,50,76.0,Student_0014,MECH,1,A,Day Scholar,75% and Above
STU0015,50,78.0,Student_0015,EEE,1,C,Hostel,75% and Above
STU0016,50,84.0,Student_0016,ECE,1,B,Day Scholar,75% and Above
STU0017,50,86.0,Student_0017,CIVIL,2,C,Day Scholar,75% and Above
STU0018,50,84.0,Student_0018,MECH,4,D,Hostel,75% and Above
STU0019,50,84.0,Student_0019,AIML,3,D,Hostel,75% and Above
STU0020,50,78.0,Student_0020,EEE,4,A,Hostel,75% and Above
STU0021,50,80.0,Student_0021,CIVIL,4,A,Day Scholar,75% and Above
STU0022,50,82.0,Student_0022,CIVIL,4,D,Hostel,75% and Above
STU0023,50,74.0,Student_0023,AIML,1,B,Day Scholar,Below 75%
STU0024,50,86.0,Student_0024,EEE,3,B,Day Scholar,75% and Above
STU0025,50,86.0,Student_0025,MECH,3,C,Hostel,75% and Above
STU0026,50,84.0,Student_0026,CSE,4,D,Day Scholar,75% and Above
STU0027,50,84.0,Student_0027,EEE,1,D,Hostel,75% and Above
STU0028,50,76.0,Student_0028,AIML,1,B,Hostel,75% and Above
STU0029,50,92.0,Student_0029,CIVIL,3,B,Hostel,75% and Above
STU0030,50,84.0,Student_0030,MECH,1,D,Hostel,75% and Above
STU0031,50,84.0,Student_0031,EEE,1,A,Hostel,75% and Above
STU0032,50,84.0,Student_0032,CSE,1,D,Hostel,75% and Above
STU0033,50,74.0,Student_0033,CSE,2,D,Hostel,Below 75%
